Page,Product Name,Current Price,Original Price,Discount,Rating Score,Ratings Count,Reviews Count,Highlights,Product URL
1,"Voltas Beko 6 kg Semi Automatic Top Load Washing Machine Maroon, White","₹7,690","₹12,000",35% off,4.3,22287.0,1461.0,1350 rpm Max Speed | 5 Star Rating | 1 Year Warranty on Product and 5 Years Warranty on Motor,https://www.flipkart.com/voltas-beko-6-kg-semi-automatic-top-load-washing-machine-maroon-white/p/itmeee255492de36
1,"Samsung 8 kg 5 star, Ecobubble, Digital Inverter, Fully Automatic Top Load Washing Machine Grey","₹19,490","₹27,000",27% off,4.3,104994.0,6702.0,"700 rpm Max Speed | 5 Star Rating | 2 years comprehensive warranty on the product, 20 years warranty on the DIT Motor",https://www.flipkart.com/samsung-8-kg-5-star-ecobubble-digital-inverter-fully-automatic-top-load-washing-machine-grey/p/itmc6526adbb9164
1,"Godrej 7 kg Zero Pressure Technology Fills Tub 60% Faster, Fabrisafe Steel Drum Fully Automatic Top Load Washing Machine Grey, Black(WTEON ALP 70 5.0 FDUN GPGR)","₹13,990","₹27,300",48% off,4.2,9874.0,682.0,720 rpm Max Speed | 5 Star Rating | 2 Years Comprehensive Warranty on Product and 10 Years Warranty on Motor,https://www.flipkart.com/godrej-7-kg-zero-pressure-technology-fills-tub-60-faster-fabrisafe-steel-drum-fully-automatic-top-load-washing-machine-grey-black/p/itm98364367d4e69
1,"Thomson 8 kg 5 Star Aqua Magic Grande Series with Floral Toughened Glass and Double Waterfall Semi Automatic Top Load Washing Machine Black, Grey(TSG8000)","₹8,999","₹12,999",30% off,4.1,29244.0,2462.0,1400 RPM Max Speed | 5 Star Rating | 2 Years Comprehensive Warranty on Product and 5 Years Warranty on Motor,https://www.flipkart.com/thomson-8-kg-5-star-aqua-magic-grande-series-floral-toughened-glass-double-waterfall-semi-automatic-top-load-washing-machine-black-grey/p/itm19805c9b3ce40
1,"LG 8 kg Semi Automatic Top Load Washing Machine White, Maroon(P8035SRAZ)","₹13,990","₹19,990",30% off,4.5,14029.0,921.0,1300 rpm Max Speed | 5 Star Rating | 2 Years Comprehensive Warranty on Product and 5 Years Warranty on Motor T&C,https://www.flipkart.com/lg-8-5-kg-5-star-roller-jet-pulsator-soak-wind-dry-collar-scrubber-semi-automatic-top-load-washing-machine-maroon-white/p/itmb46d8b1694357
1,"Whirlpool 7.5 kg 5 Star with Memory Retention, End of Cycle Buzzer and Collar Scrubber Semi Automatic Top Load Washing Machine Black, Grey(MAGIC CLEAN 7.5 GREY DAZZLE (5YR))","₹9,790","₹14,100",30% off,4.4,41859.0,2721.0,1400 rpm Max Speed | 5 Star Rating | 4 yr comprehensive warranty+ 5 yr wash motor & prime mover+ 4 yr spin motor warranty,https://www.flipkart.com/whirlpool-7-5-kg-5-star-memory-retention-end-cycle-buzzer-collar-scrubber-semi-automatic-top-load-washing-machine-black-grey/p/itm6bedc92d5c109
1,MOTOROLA 10.5 kg Fully Automatic Front Load Washing Machine with In-built Heater Grey,"₹24,690","₹59,990",58% off,4.1,12729.0,1568.0,1400 rpm Max Speed | 5 Star Rating | With In-Built Heater | 2 Years Comprehensive and 5 Years on Wash Motor,https://www.flipkart.com/motorola-10-5-kg-fully-automatic-front-load-washing-machine-in-built-heater-grey/p/itm8ae1a578b21f0
1,"realme TechLife 8.5 kg 5 Star Rating, Toughened Glass lid, and Heavy Duty Motor Semi Automatic Top Load Washing Machine Grey, Black(RMSA855NNNMG)","₹10,290","₹17,990",42% off,4.2,95150.0,8215.0,1300 rpm Max Speed | 5 Star Rating | 2 Years Warranty on Product and 05 Years Special Warranty on Wash Motor,https://www.flipkart.com/realme-techlife-8-5-kg-5-star-rating-toughened-glass-lid-heavy-duty-motor-semi-automatic-top-load-washing-machine-grey-black/p/itm4c8c74a0f7a80
1,"MarQ by Flipkart 6.5 kg 5 Star Rating Innowash Range Semi Automatic Top Load Washing Machine Blue, White(MQSA655NNNDN / MQSA65H5M)","₹7,090","₹12,990",45% off,4.3,62170.0,6114.0,1350 rpm Max Speed | 5 Star Rating | 2 Years Warranty on Product and 05 Years Special Warranty on Wash Motor,https://www.flipkart.com/marq-flipkart-6-5-kg-5-star-rating-innowash-range-semi-automatic-top-load-washing-machine-blue-white/p/itm243449e2c4c86
1,"Haier 7 kg Balance Clean Pulsator, Custom Wash Cycles with 15 Mins Quick Wash, Magic Filter Fully Automatic Top Load Washing Machine Brown, Grey(HWM70-FE)","₹13,690","₹20,990",34% off,4.3,72167.0,8078.0,800 rpm Max Speed | 5 Star Rating | 2 Years Comprehensive Warranty on Product and 10 Years Warranty on Motor from Haier,https://www.flipkart.com/haier-7-kg-balance-clean-pulsator-custom-wash-cycles-15-mins-quick-wash-magic-filter-fully-automatic-top-load-washing-machine-brown-grey/p/itm70c0d26236280
2,"realme TechLife 7 kg 5 Star Rating Fabric Safe Wash Fully Automatic Top Load Washing Machine Black, Grey(RMTL705NNNEG)","₹11,390","₹21,990",48% off,4.1,15944.0,1619.0,700 rpm Max Speed | 5 Star Rating | 2 Years Warranty on Product and 05 Years Special Warranty on Wash Motor,https://www.flipkart.com/realme-techlife-7-kg-5-star-rating-fabric-safe-wash-fully-automatic-top-load-washing-machine-black-grey/p/itm44899ee8a31d9
